model,split_strategy,experiment_id,train_source,query_source,target,window,MAP,MRR,P@1,R@1,P@3,R@3,P@5,R@5,P@10,R@10
bge-small,modn,desc_qdesc_file_w1000_modn,desc,desc,file,w1000,0.1324299305626065,0.2236984126984127,0.175,0.06321428571428572,0.12833333333333333,0.1359642857142857,0.09699999999999999,0.154947465055674,0.06149999999999999,0.18452191423833214
bge-small,modn,desc_qcomments_file_w1000_modn,desc,comments,file,w1000,0.13437676597172865,0.22423214285714285,0.17,0.06479761904761905,0.13666666666666666,0.13885222696043592,0.10099999999999999,0.16032841743662637,0.0625,0.18823619995261787
bge-small,modn,desc_qtitle_module_w1000_modn,desc,title,module,w1000,0.7362625,0.8308888888888889,0.725,0.24600000000000002,0.6183333333333334,0.6474166666666668,0.485,0.8499166666666668,0.27499999999999997,0.9556666666666667
bge-small,modn,desc_qdesc_module_w1000_modn,desc,desc,module,w1000,0.7696095238095237,0.8894166666666666,0.825,0.2889166666666667,0.6283333333333334,0.6743333333333333,0.48200000000000004,0.8440833333333333,0.275,0.9556666666666667
bge-small,modn,desc_qcomments_module_w1000_modn,desc,comments,module,w1000,0.7743293650793652,0.8944166666666666,0.835,0.29350000000000004,0.6283333333333334,0.6730833333333334,0.484,0.8469999999999999,0.27499999999999997,0.9556666666666667
bge-small,modn,diff_qtitle_file_w1000_modn,diff,title,file,w1000,0.176712823348471,0.29795436507936507,0.235,0.07834523809523809,0.18,0.18026587301587302,0.126,0.20591175076995974,0.0785,0.25038518985160774
bge-small,modn,diff_qdesc_file_w1000_modn,diff,desc,file,w1000,0.16859489577340056,0.27852182539682535,0.23,0.08301190476190476,0.15666666666666665,0.1563373015873016,0.11900000000000002,0.18778079838900733,0.0775,0.23774810471452262
bge-small,modn,diff_qcomments_file_w1000_modn,diff,comments,file,w1000,0.17252792464830044,0.27996031746031746,0.23,0.08345634920634921,0.16,0.15739984600805496,0.126,0.19484032219853112,0.08,0.24222731580194265
bge-small,modn,diff_qtitle_module_w1000_modn,diff,title,module,w1000,0.7190783730158731,0.7832976190476191,0.64,0.22416666666666665,0.6233333333333334,0.6479166666666667,0.512,0.8859166666666667,0.275,0.9556666666666667
bge-small,modn,diff_qdesc_module_w1000_modn,diff,desc,module,w1000,0.7303081349206348,0.8073055555555555,0.71,0.2515833333333333,0.5816666666666667,0.6051666666666666,0.507,0.8764166666666666,0.275,0.9556666666666667
bge-small,modn,diff_qcomments_module_w1000_modn,diff,comments,module,w1000,0.7358146825396825,0.8127222222222221,0.72,0.257,0.5783333333333334,0.6005833333333334,0.513,0.8859999999999999,0.275,0.9556666666666667
bge-small,modn,title_qtitle_file_all_modn,title,title,file,all,0.3924563864810526,0.6623392857142857,0.62,0.21625932424911215,0.41,0.38824894183672654,0.265,0.41589288123066603,0.149,0.4434203776061592
bge-small,modn,title_qdesc_file_all_modn,title,desc,file,all,0.31609936012186457,0.5283710317460317,0.475,0.16824219810040703,0.3183333333333333,0.30896649329112014,0.21600000000000003,0.3386594757472605,0.13049999999999998,0.3919716041573858
bge-small,modn,title_qcomments_file_all_modn,title,comments,file,all,0.319741240879222,0.5494285714285714,0.505,0.17267171717171714,0.3233333333333333,0.308434875066454,0.21799999999999997,0.34096295833432516,0.131,0.3954094567603994
bge-small,modn,title_qtitle_module_all_modn,title,title,module,all,0.7159913359788359,0.8058253968253968,0.7,0.2505,0.61,0.6523333333333333,0.45599999999999996,0.79325,0.26849999999999996,0.9489166666666666
bge-small,modn,title_qdesc_module_all_modn,title,desc,module,all,0.6501125000000001,0.7344166666666666,0.59,0.20274999999999999,0.585,0.6302500000000001,0.43799999999999994,0.763,0.2545,0.90375
bge-small,modn,title_qcomments_module_all_modn,title,comments,module,all,0.6543358134920635,0.73875,0.595,0.20316666666666666,0.59,0.6325,0.44299999999999995,0.7774166666666666,0.255,0.9054166666666665
bge-small,modn,desc_qtitle_file_all_modn,desc,title,file,all,0.3843653299963688,0.6332420634920635,0.575,0.20935028860028862,0.39,0.3804916474814354,0.25799999999999995,0.40785306408263994,0.1495,0.4524610077885805
bge-small,modn,desc_qdesc_file_all_modn,desc,desc,file,all,0.3223576023891112,0.5332420634920635,0.465,0.16338942052099945,0.33333333333333326,0.3230307794021463,0.23,0.3557491679787438,0.13949999999999999,0.40587026957942124
bge-small,modn,desc_qcomments_file_all_modn,desc,comments,file,all,0.3164717467882517,0.527970238095238,0.46,0.16188942052099947,0.3283333333333333,0.3201974460688129,0.22399999999999998,0.35236821559779136,0.1355,0.39943867753962026
bge-small,modn,desc_qtitle_module_all_modn,desc,title,module,all,0.7112634589947091,0.8100257936507935,0.7,0.25958333333333333,0.6033333333333334,0.64875,0.461,0.8190833333333333,0.26899999999999996,0.9532499999999999
bge-small,modn,desc_qdesc_module_all_modn,desc,desc,module,all,0.6406933201058201,0.7292876984126984,0.59,0.20008333333333334,0.5483333333333333,0.5882499999999999,0.424,0.7580000000000001,0.2545,0.90375
bge-small,modn,desc_qcomments_module_all_modn,desc,comments,module,all,0.6369388558201058,0.7177876984126985,0.575,0.19716666666666668,0.555,0.5899166666666668,0.42700000000000005,0.7613333333333333,0.25549999999999995,0.9070833333333332
bge-small,modn,diff_qtitle_file_all_modn,diff,title,file,all,0.35087697417068975,0.5687539682539682,0.485,0.1703158274474064,0.3383333333333334,0.3366792739424318,0.24400000000000002,0.39450303789777474,0.14700000000000002,0.4682951904297151
bge-small,modn,diff_qdesc_file_all_modn,diff,desc,file,all,0.38001105764326015,0.5949087301587301,0.515,0.1860737639553429,0.375,0.3729020277967646,0.266,0.4233486367433736,0.157,0.47950026751637126
bge-small,modn,diff_qcomments_file_all_modn,diff,comments,file,all,0.3791455812095442,0.6055753968253968,0.52,0.1833237639553429,0.385,0.3711312388841847,0.269,0.4191108469953717,0.16200000000000003,0.4847086896912113
bge-small,modn,diff_qtitle_module_all_modn,diff,title,module,all,0.5667496362433863,0.5912063492063493,0.36,0.13275,0.39666666666666667,0.4308333333333333,0.431,0.7574166666666667,0.27949999999999997,0.9870833333333333
bge-small,modn,diff_qdesc_module_all_modn,diff,desc,module,all,0.6365260582010582,0.6951369047619047,0.525,0.18,0.5066666666666667,0.524,0.43900000000000006,0.7675833333333334,0.27799999999999997,0.9766666666666666
bge-small,modn,diff_qcomments_module_all_modn,diff,comments,module,all,0.6400289351851852,0.6986011904761904,0.535,0.17791666666666664,0.5166666666666666,0.534,0.439,0.7625,0.27749999999999997,0.9754166666666667
