,Rank (Borda),Model,Zero-shot,Memory Usage (MB),Number of Parameters (B),Embedding Dimensions,Max Tokens,Mean (Task),Mean (TaskType),Bitext Mining,Classification,Clustering,Instruction Reranking,Multilabel Classification,Pair Classification,Reranking,Retrieval,STS
292,293,[Yinka](https://huggingface.co/Classical/Yinka),⚠️ NA,1244.0,0.326,1024.0,512.0,,,,76.96,,,,,67.05,85.95,79.24
293,294,[xiaobu-embedding](https://huggingface.co/lier007/xiaobu-embedding),⚠️ NA,1244.0,0.326,1024.0,512.0,,,,72.87,,,,,66.6,87.69,81.19
294,295,[ruri-v3-130m](https://huggingface.co/cl-nagoya/ruri-v3-130m),99%,504.0,0.132,512.0,8192.0,,,,75.23,47.33,,,,,,73.93
295,296,[ruri-v3-70m](https://huggingface.co/cl-nagoya/ruri-v3-70m),99%,140.0,0.07,256.0,8192.0,,,,73.6,47.85,,,,,,75.85
296,297,[ruri-base](https://huggingface.co/cl-nagoya/ruri-base),⚠️ NA,212.0,0.111,768.0,512.0,,,,70.44,47.5,,,,,,82.93
297,298,[ruri-base-v2](https://huggingface.co/cl-nagoya/ruri-base-v2),⚠️ NA,424.0,0.111,768.0,512.0,,,,70.23,46.9,,,,,,82.76
298,299,[Hakim](https://huggingface.co/MCINext/Hakim),100%,475.0,0.124,768.0,512.0,,,,69.42,,,,,88.92,67.76,
299,300,[USER2-base](https://huggingface.co/collections/deepvk/user2-6802650d7210f222ec60e05f),95%,568.0,0.149,768.0,8192.0,,,,69.47,,,44.05,56.38,69.73,,
300,301,[ruri-v3-30m](https://huggingface.co/cl-nagoya/ruri-v3-30m),100%,140.0,0.037,256.0,8192.0,,,,70.02,45.7,,,,,,81.4
301,302,[cai-stellaris-text-embeddings](https://huggingface.co/consciousAI/cai-stellaris-text-embeddings),⚠️ NA,,,768.0,514.0,,,,63.46,,,,88.36,,47.29,
302,303,[Tooka-SBERT-V2-Large](https://huggingface.co/PartAI/Tooka-SBERT-V2-Large),⚠️ NA,1347.0,0.353,1024.0,512.0,,,,67.85,,,,,86.48,67.92,
