,Rank (Borda),Model,Zero-shot,Memory Usage (MB),Number of Parameters (B),Embedding Dimensions,Max Tokens,Mean (Task),Mean (TaskType),Bitext Mining,Classification,Clustering,Instruction Reranking,Multilabel Classification,Pair Classification,Reranking,Retrieval,STS
147,148,[rubert-tiny](https://huggingface.co/cointegrated/rubert-tiny),99%,45.0,0.012,312.0,512.0,33.85,28.37,17.08,43.85,28.74,-0.89,13.86,67.0,33.18,12.09,40.44
148,149,[rubert-base-cased](https://huggingface.co/DeepPavlov/rubert-base-cased),98%,4883.0,1.28,768.0,512.0,32.0,26.37,14.44,44.87,30.02,0.8,12.83,62.58,32.43,7.97,31.37
149,150,[silma-embeddding-matryoshka-v0.1](https://huggingface.co/silma-ai/silma-embeddding-matryoshka-v0.1),⚠️ NA,516.0,0.135,768.0,512.0,34.15,29.15,21.72,41.31,27.3,0.57,13.07,69.42,30.72,15.75,42.49
150,151,[Arabic-mpnet-base-all-nli-triplet](https://huggingface.co/Omartificial-Intelligence-Space/Arabic-mpnet-base-all-nli-triplet),100%,418.0,0.109,768.0,514.0,35.2,29.46,15.13,44.37,27.4,-2.84,12.31,70.72,35.84,13.12,49.12
151,152,[potion-base-2M](https://huggingface.co/minishlab/potion-base-2M),99%,7.0,0.002,64.0,,36.27,30.97,12.19,42.25,31.0,0.59,11.53,70.43,37.38,23.99,49.34
152,153,[cai-lunaris-text-embeddings](https://huggingface.co/consciousAI/cai-lunaris-text-embeddings),⚠️ NA,,0.335,1024.0,512.0,36.65,30.85,13.63,43.17,31.7,-1.46,12.65,69.98,34.38,23.49,50.14
153,154,[distilrubert-small-cased-conversational](https://huggingface.co/DeepPavlov/distilrubert-small-cased-conversational),100%,408.0,0.107,768.0,512.0,32.5,27.03,15.53,43.81,25.95,-0.61,13.11,64.46,33.51,11.29,36.2
154,155,[Arabert-all-nli-triplet-Matryoshka](https://huggingface.co/Omartificial-Intelligence-Space/Arabert-all-nli-triplet-Matryoshka),100%,516.0,0.135,768.0,512.0,33.11,28.18,19.05,40.86,26.42,1.07,12.11,68.76,30.14,12.74,42.51
155,156,[deberta-v1-base](https://huggingface.co/deepvk/deberta-v1-base),98%,473.0,0.124,768.0,512.0,31.83,25.71,13.07,45.37,27.01,-2.37,12.65,65.19,29.56,5.54,35.38
156,157,[udever-bloom-560m](https://huggingface.co/izhx/udever-bloom-560m),100%,,0.559,,,,30.65,10.07,50.08,27.94,-0.81,14.1,71.67,30.79,18.87,53.11
157,158,[Marbert-all-nli-triplet-Matryoshka](https://huggingface.co/Omartificial-Intelligence-Space/Marbert-all-nli-triplet-Matryoshka),100%,621.0,0.163,768.0,512.0,32.14,26.76,14.54,41.88,25.58,-0.17,11.67,68.65,28.05,9.19,41.49
158,159,[sbert_large_mt_nlu_ru](https://huggingface.co/ai-forever/sbert_large_mt_nlu_ru),100%,1629.0,0.427,1024.0,512.0,31.21,26.56,13.89,40.91,27.07,-0.48,13.71,65.22,34.6,8.47,35.7
159,160,[sbert_large_nlu_ru](https://huggingface.co/ai-forever/sbert_large_nlu_ru),100%,1629.0,0.427,1024.0,512.0,30.05,25.39,13.22,40.66,27.55,0.56,13.7,62.84,32.13,7.8,30.07
160,161,[ternary-weight-embedding](https://huggingface.co/malenia1/ternary-weight-embedding),⚠️ NA,158.0,0.099,1024.0,512.0,31.06,26.58,12.65,38.87,23.89,0.92,12.14,64.88,32.09,10.63,43.16
161,162,[jina-embeddings-v2-base-en](https://huggingface.co/jinaai/jina-embeddings-v2-base-en),100%,262.0,0.137,768.0,8192.0,28.04,24.17,0.9,34.2,21.12,-1.64,10.39,68.24,31.6,10.7,42.03
162,163,[SearchMap_Preview](https://huggingface.co/VPLabs/SearchMap_Preview),⚠️ NA,1660.0,0.435,4096.0,8192.0,,49.44,28.83,69.32,50.19,0.46,4.86,81.31,90.88,48.6,70.49
163,164,[lodestone-base-4096-v1](https://huggingface.co/Hum-Works/lodestone-base-4096-v1),100%,,0.137,768.0,,,,6.26,37.23,21.31,,17.09,71.18,,15.13,50.38
164,165,[jina-embeddings-v4](https://huggingface.co/jinaai/jina-embeddings-v4),97%,7500.0,3.935,2048.0,32768.0,,,,,,,,,,66.43,72.55
165,166,[Jasper-Token-Compression-600M](https://huggingface.co/infgrad/Jasper-Token-Compression-600M),90%,2272.0,0.607,2048.0,32768.0,,,,89.96,61.63,,,93.63,67.54,69.09,88.45
166,167,[voyage-law-2](https://blog.voyageai.com/2024/04/15/domain-specific-embeddings-and-retrieval-legal-edition-voyage-law-2/),100%,,,1024.0,16000.0,,,64.06,60.01,46.96,,,83.84,,79.64,82.55
167,168,[Seed1.5-Embedding](https://seed1-5-embedding.github.io/),90%,,,2048.0,32768.0,,,,88.3,63.66,,,92.04,67.33,69.14,87.61
168,169,[QZhou-Embedding](https://huggingface.co/Kingsoft-LLM/QZhou-Embedding),90%,14436.0,7.071,3584.0,8192.0,,,,79.19,61.94,,,95.27,68.01,70.89,90.55
169,170,[KaLM-embedding-multilingual-mini-instruct-v1.5](https://huggingface.co/HIT-TMG/KaLM-embedding-multilingual-mini-instruct-v1.5),92%,1885.0,0.494,896.0,512.0,,,,76.47,71.82,,43.76,76.17,70.72,61.16,80.45
170,171,[Seed1.6-embedding](https://seed1-6-embedding.github.io/),90%,,,2048.0,32768.0,,,,92.5,61.76,,,88.39,67.66,67.24,86.64
171,172,[bge-multilingual-gemma2](https://huggingface.co/BAAI/bge-multilingual-gemma2),91%,35254.0,9.24,3584.0,8192.0,,,,80.69,67.24,,,85.95,73.05,61.51,84.78
172,173,[KaLM-embedding-multilingual-mini-instruct-v2.5](https://huggingface.co/KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5),92%,1885.0,0.494,896.0,512.0,,,,90.14,59.34,,,91.38,67.6,62.08,84.15
173,174,[text-embedding-004](https://cloud.google.com/vertex-ai/generative-ai/docs/embeddings/get-text-embeddings),99%,,,768.0,2048.0,,,,81.59,56.0,2.33,,91.95,,50.68,84.27
174,175,[voyage-code-2](https://blog.voyageai.com/2024/01/23/voyage-code-2-elevate-your-code-retrieval/),100%,,,1536.0,16000.0,,,60.0,59.7,46.35,,,83.07,,74.83,81.7
175,176,[text-embedding-ada-002](https://openai.com/index/new-and-improved-embedding-model/),⚠️ NA,,,1536.0,8191.0,,,73.13,65.7,48.58,,,83.55,,32.43,79.99
176,177,[voyage-2](https://blog.voyageai.com/2023/10/29/voyage-embeddings/),100%,,,1024.0,4000.0,,,47.0,58.05,46.24,,,81.89,,59.47,78.38
177,178,[Giga-Embeddings-instruct](https://huggingface.co/ai-sage/Giga-Embeddings-instruct),⚠️ NA,12865.0,3.227,2048.0,4096.0,,,,90.34,60.25,,69.81,86.52,80.51,49.62,82.39
178,179,[LGAI-Embedding-Preview](https://huggingface.co/annamodels/LGAI-Embedding-Preview),90%,27125.0,7.11,4096.0,32768.0,,,,89.45,61.82,,,92.79,,68.1,86.74
179,180,[b1ade-embed](https://huggingface.co/w601sxs/b1ade-embed),99%,1278.0,0.335,1024.0,4096.0,,,32.02,73.0,50.17,,,91.49,,57.18,86.4
180,181,[text-embedding-005](https://cloud.google.com/vertex-ai/generative-ai/docs/embeddings/get-text-embeddings),99%,,,768.0,2048.0,,,,82.06,56.37,,,91.97,,54.55,84.62
181,182,[voyage-code-3](https://blog.voyageai.com/2024/12/04/voyage-code-3/),100%,,,1024.0,32000.0,,,67.77,56.8,47.9,,,89.69,,89.88,81.47
182,183,[inf-retriever-v1](https://huggingface.co/infly/inf-retriever-v1),96%,13483.0,7.069,3584.0,32768.0,,,,,,2.63,,,,66.48,
183,184,[sentence-t5-large](https://huggingface.co/sentence-transformers/sentence-t5-large),100%,639.0,0.336,768.0,512.0,,,43.7,63.4,30.64,,2.79,81.59,77.42,47.58,78.29
184,185,[Yuan-embedding-2.0-en](https://huggingface.co/IEITYuan/Yuan-embedding-2.0-en),99%,2272.0,0.596,1024.0,2048.0,,,,83.32,55.39,,,88.37,,75.78,84.81
185,186,[voyage-3-large](https://blog.voyageai.com/2025/01/07/voyage-3-large/),100%,,,1024.0,32000.0,,,,,,4.0,,,,66.02,
186,187,[Tarka-Embedding-350M-V1](https://huggingface.co/Tarka-AIR/Tarka-Embedding-350M-V1),99%,676.0,0.354,1024.0,128000.0,,,,88.8,58.81,,,90.39,,54.08,84.45
187,188,[inf-retriever-v1-1.5b](https://huggingface.co/infly/inf-retriever-v1-1.5b),96%,2944.0,1.543,1536.0,32768.0,,,,,,0.09,,,,62.96,
188,189,[F2LLM-4B](https://huggingface.co/codefuse-ai/F2LLM-4B),90%,7672.0,4.022,2560.0,8192.0,,,,91.12,73.02,,,88.48,,49.76,83.78
189,190,[F2LLM-1.7B](https://huggingface.co/codefuse-ai/F2LLM-1.7B),90%,3282.0,1.721,2560.0,8192.0,,,,90.14,68.49,,,89.98,,49.24,83.41
190,191,[voyage-3-m-exp](https://huggingface.co/voyageai/voyage-3-m-exp),90%,,6.918,2048.0,32000.0,,,,95.1,49.43,,,89.6,,69.02,83.49
191,192,[granite-embedding-english-r2](https://huggingface.co/ibm-granite/granite-embedding-english-r2),96%,284.0,0.149,768.0,8192.0,,,,66.03,50.8,,,88.98,,53.69,77.06
192,193,[F2LLM-0.6B](https://huggingface.co/codefuse-ai/F2LLM-0.6B),90%,1137.0,0.596,1024.0,8192.0,,,,90.53,65.02,,,89.13,,46.64,82.33
193,194,[mdbr-leaf-mt](https://huggingface.co/MongoDB/mdbr-leaf-mt),100%,86.0,0.023,1024.0,512.0,,,,69.9,50.33,,,91.01,,47.35,82.67
194,195,[sentence-t5-base](https://huggingface.co/sentence-transformers/sentence-t5-base),100%,209.0,0.223,768.0,512.0,,,55.13,45.01,29.72,,2.24,80.61,73.28,42.31,76.85
195,196,[voyage-finance-2](https://blog.voyageai.com/2024/06/03/domain-specific-embeddings-finance-edition-voyage-finance-2/),100%,,,1024.0,32000.0,,,68.06,58.92,47.47,,,82.52,,88.52,76.07
196,197,[SONAR](https://ai.meta.com/research/publications/sonar-sentence-level-multimodal-and-language-agnostic-representations/),100%,,,1024.0,512.0,,,74.15,59.25,50.72,,,82.1,55.35,13.82,64.92
197,198,[Conan-embedding-v2](https://huggingface.co/TencentBAC/Conan-embedding-v2),91%,,,3584.0,32768.0,,,,89.37,,,,96.3,72.83,72.53,86.9
198,199,[GeoEmbedding](https://huggingface.co/GeoGPT-Research-Project/GeoEmbedding),92%,27625.0,7.111,4096.0,32768.0,,,,89.02,55.27,,,89.79,,59.09,80.14
199,200,[Tarka-Embedding-150M-V1](https://huggingface.co/Tarka-AIR/Tarka-Embedding-150M-V1),99%,576.0,0.156,768.0,2048.0,,,,84.79,56.37,,,87.46,,52.32,81.35
200,201,[granite-embedding-small-english-r2](https://huggingface.co/ibm-granite/granite-embedding-small-english-r2),96%,91.0,0.048,384.0,8192.0,,,,62.74,50.15,,,88.85,,50.49,75.35
201,202,[voyage-large-2](https://blog.voyageai.com/2023/10/29/voyage-embeddings/),100%,,,1536.0,16000.0,,,54.55,54.03,48.87,,,89.05,,59.47,81.7
202,203,[mini-gte](https://huggingface.co/prdev/mini-gte),100%,253.0,0.066,768.0,512.0,,,,76.14,51.55,,,90.46,,50.65,81.15
203,204,[miniac-embed](https://huggingface.co/ManiacLabs/miniac-embed),100%,127.0,0.033,1024.0,512.0,,,,69.24,49.73,,,90.92,,42.54,82.45
204,205,[bge-large-en](https://huggingface.co/BAAI/bge-large-en),99%,1242.0,0.335,1024.0,512.0,,,,75.54,,-2.37,,90.2,,40.51,83.2
205,206,[multi-qa-MiniLM-L6-cos-v1](https://huggingface.co/sentence-transformers/multi-qa-MiniLM-L6-cos-v1),100%,87.0,0.023,384.0,512.0,,,8.78,54.96,19.79,,2.4,79.76,75.46,35.4,67.27
206,207,[sentence-t5-xl](https://huggingface.co/sentence-transformers/sentence-t5-xl),100%,2367.0,1.242,768.0,512.0,,,48.42,60.8,31.74,,,83.26,,36.71,79.41
207,208,[bge-base-en](https://huggingface.co/BAAI/bge-base-en),99%,390.0,0.109,768.0,512.0,,,,74.46,,-3.11,,90.73,,39.21,83.17
208,209,[sentence-t5-xxl](https://huggingface.co/sentence-transformers/sentence-t5-xxl),100%,9279.0,4.866,768.0,512.0,,,83.25,50.37,38.24,,,83.37,,38.83,85.13
209,210,[KaLM-embedding-multilingual-mini-instruct-v2](https://huggingface.co/HIT-TMG/KaLM-embedding-multilingual-mini-instruct-v2),92%,942.0,0.494,896.0,512.0,,,,87.66,,,,91.02,66.69,60.2,81.33
210,211,[LENS-d8000](https://huggingface.co/yibinlei/LENS-d8000),93%,27125.0,7.11,8000.0,32768.0,,,,89.07,,,,92.19,,60.58,86.44
211,212,[LENS-d4000](https://huggingface.co/yibinlei/LENS-d4000),93%,27125.0,7.11,4000.0,32768.0,,,,88.51,,,,92.24,,58.19,86.17
212,213,[bge-en-icl](https://huggingface.co/BAAI/bge-en-icl),92%,27125.0,7.11,4096.0,32768.0,,,,89.75,,,,92.57,,62.47,85.55
213,214,[gme-Qwen2-VL-7B-Instruct](https://huggingface.co/Alibaba-NLP/gme-Qwen2-VL-7B-Instruct),100%,31629.0,7.746,3584.0,32768.0,,,,81.95,,,,91.23,66.54,56.04,80.42
214,215,[gme-Qwen2-VL-2B-Instruct](https://huggingface.co/Alibaba-NLP/gme-Qwen2-VL-2B-Instruct),100%,8427.0,2.209,1536.0,32768.0,,,,79.32,,,,90.89,66.73,55.57,80.63
215,216,[gtr-t5-large](https://huggingface.co/sentence-transformers/gtr-t5-large),100%,639.0,0.336,768.0,512.0,,,,57.17,26.42,,3.02,89.97,78.34,55.28,72.76
216,217,[Zeta-Alpha-E5-Mistral](https://huggingface.co/zeta-alpha-ai/Zeta-Alpha-E5-Mistral),95%,13563.0,7.111,4096.0,32768.0,,,,76.98,,,,91.68,,56.72,85.86
217,218,[gte-base-en-v1.5](https://huggingface.co/Alibaba-NLP/gte-base-en-v1.5),⚠️ NA,,0.137,768.0,8192.0,,,,78.81,,,,90.26,,40.21,83.2
218,219,[static-retrieval-mrl-en-v1](https://huggingface.co/sentence-transformers/static-retrieval-mrl-en-v1),99%,119.0,0.031,1024.0,,,,,63.65,35.93,,,86.7,,31.85,71.44
219,220,[LLM2Vec-Llama-2-7b-chat-hf-mntp-supervised](https://huggingface.co/McGill-NLP/LLM2Vec-Llama-2-7b-chat-hf-mntp-supervised),98%,27126.0,6.647,4096.0,32768.0,,,,77.1,,,,91.7,,52.28,85.83
220,221,[cde-small-v2](https://huggingface.co/jxm/cde-small-v1),93%,1166.0,0.306,768.0,512.0,,,,81.07,,,,91.82,,59.45,84.73
221,222,[mxbai-embed-2d-large-v1](https://huggingface.co/mixedbread-ai/mxbai-embed-2d-large-v1),⚠️ NA,,0.335,768.0,512.0,,,,73.38,,,,90.81,,51.68,86.38
222,223,[LLM2Vec-Meta-Llama-3-8B-Instruct-mntp-supervised](https://huggingface.co/McGill-NLP/LLM2Vec-Meta-Llama-3-8B-Instruct-mntp-supervised),98%,28629.0,7.547,4096.0,8192.0,,,,76.78,,,,90.83,,55.36,85.24
223,224,[ember-v1](https://huggingface.co/llmrails/ember-v1),⚠️ NA,1278.0,0.335,1024.0,512.0,,,,74.96,,,,91.41,,49.43,84.86
224,225,[gte-modernbert-base](https://huggingface.co/Alibaba-NLP/gte-modernbert-base),99%,284.0,0.149,768.0,8192.0,,,,78.07,,,,90.37,,65.4,82.15
225,226,[LLM2Vec-Sheared-LLaMA-mntp-supervised](https://huggingface.co/McGill-NLP/LLM2Vec-Sheared-LLaMA-mntp-supervised),98%,27126.0,1.295,4096.0,32768.0,,,,74.31,,,,91.24,,50.01,84.94
226,227,[cde-small-v1](https://huggingface.co/jxm/cde-small-v1),93%,1072.0,0.281,768.0,512.0,,,,78.8,,,,90.59,,57.72,82.77
227,228,[bangla-sentence-transformer-ft-matryoshka-paraphrase-multilingual-mpnet-base-v2](https://huggingface.co/Kowshik24/bangla-sentence-transformer-ft-matryoshka-paraphrase-multilingual-mpnet-base-v2),100%,1061.0,0.278,768.0,128.0,,,67.99,37.56,37.75,,,,73.5,51.39,39.73
228,229,[Titan-text-embeddings-v2](https://huggingface.co/amazon/Titan-text-embeddings-v2),⚠️ NA,,,,,,,38.25,68.14,,,,89.32,,51.35,80.78
229,230,[modernbert-embed-base](https://huggingface.co/nomic-ai/modernbert-embed-base),96%,568.0,0.149,768.0,8192.0,,,,73.14,,,,89.12,,50.57,83.97
230,231,[bge-small-en](https://huggingface.co/BAAI/bge-small-en),99%,127.0,0.033,512.0,512.0,,,,73.0,,,,90.19,,50.73,82.48
231,232,[Hinvec](https://huggingface.co/Sailesh97/Hinvec),96%,3715.0,0.94,2048.0,2048.0,,,54.8,62.1,15.75,,,64.48,53.36,19.47,6.98
232,233,[gtr-t5-xxl](https://huggingface.co/sentence-transformers/gtr-t5-xxl),100%,9279.0,4.866,768.0,512.0,,,,68.8,,,,90.41,,40.52,79.22
233,234,[xlm-roberta-large](https://huggingface.co/FacebookAI/xlm-roberta-large),100%,2141.0,0.56,1024.0,512.0,,,17.18,60.74,22.48,,,68.76,,20.66,
234,235,[gtr-t5-xl](https://huggingface.co/sentence-transformers/gtr-t5-xl),100%,2367.0,1.242,768.0,512.0,,,18.54,52.18,,,,90.29,,42.87,73.06
235,236,[xlm-roberta-base](https://huggingface.co/FacebookAI/xlm-roberta-base),100%,1064.0,0.278,768.0,512.0,,,25.41,57.9,25.3,,,69.11,,19.06,
236,237,[LLM2Vec-Llama-2-7b-chat-hf-mntp-unsup-simcse](https://huggingface.co/McGill-NLP/LLM2Vec-Llama-2-7b-chat-hf-mntp-unsup-simcse),100%,27126.0,6.647,4096.0,32768.0,,,,74.19,,,,84.26,,39.26,76.74
237,238,[LLM2Vec-Meta-Llama-3-8B-Instruct-mntp-unsup-simcse](https://huggingface.co/McGill-NLP/LLM2Vec-Meta-Llama-3-8B-Instruct-mntp-unsup-simcse),100%,28629.0,7.547,4096.0,8192.0,,,,74.19,,,,83.72,,41.82,75.81
238,239,[gtr-t5-base](https://huggingface.co/sentence-transformers/gtr-t5-base),100%,209.0,0.11,768.0,512.0,,,,49.66,,,,89.66,,40.29,77.71
239,240,[voyage-3.5 (output_dtype=int8)](https://blog.voyageai.com/2025/05/20/voyage-3-5/),100%,,,1024.0,32000.0,,,67.55,52.95,36.45,,,,,64.01,
240,241,[voyage-3.5 (output_dtype=binary)](https://blog.voyageai.com/2025/05/20/voyage-3-5/),100%,,,1024.0,32000.0,,,63.81,51.14,35.7,,,,,58.65,
241,242,[LLM2Vec-Sheared-LLaMA-mntp-unsup-simcse](https://huggingface.co/McGill-NLP/LLM2Vec-Sheared-LLaMA-mntp-unsup-simcse),100%,27126.0,1.295,4096.0,32768.0,,,,70.44,,,,77.55,,35.07,71.63
242,243,[text-embedding-3-large (embed_dim=512)](https://openai.com/index/new-embedding-models-and-api-updates/),⚠️ NA,,,512.0,8191.0,,,66.3,58.35,34.79,,,,,82.94,
243,244,[nb-sbert-base](https://huggingface.co/NbAiLab/nb-sbert-base),100%,678.0,0.178,4096.0,75.0,,,72.03,56.03,30.68,,,,,45.98,
244,245,[text-embedding-3-small (embed_dim=512)](https://openai.com/index/new-embedding-models-and-api-updates/),⚠️ NA,,,512.0,8191.0,,,65.38,54.15,34.42,,,,,68.97,
245,246,[e5-large-trm-nl](https://huggingface.co/clips/e5-large-trm-nl),99%,1355.0,0.355,1024.0,514.0,,,,65.15,43.62,,6.5,,87.18,90.94,
246,247,[cadet-embed-base-v1](https://huggingface.co/manveertamber/cadet-embed-base-v1),97%,418.0,0.109,768.0,512.0,,,,,,,,,,61.91,
