model,split_strategy,experiment_id,train_source,query_source,target,window,MAP,MRR,P@1,R@1,P@3,R@3,P@5,R@5,P@10,R@10
bge-small,recent,title_qcomments_file_w1000_recent,title,comments,file,w1000,0.036219914606976315,0.1017063492063492,0.055,0.009896672771672771,0.056666666666666664,0.043920482295482295,0.045,0.05367416392241076,0.03,0.08066878757832475
bge-small,recent,title_qtitle_module_w1000_recent,title,title,module,w1000,0.8228809523809525,0.8277222222222222,0.745,0.7308333333333333,0.2966666666666667,0.8608333333333333,0.2,0.965,0.10400000000000002,1.0
bge-small,recent,title_qdesc_module_w1000_recent,title,desc,module,w1000,0.8596785714285714,0.8634007936507936,0.79,0.7766666666666667,0.3116666666666667,0.9033333333333334,0.20199999999999999,0.97,0.10400000000000001,1.0
bge-small,recent,title_qcomments_module_w1000_recent,title,comments,module,w1000,0.8432539682539684,0.8451785714285713,0.76,0.7491666666666665,0.315,0.9133333333333334,0.2,0.9625,0.10400000000000002,1.0
bge-small,recent,desc_qtitle_file_w1000_recent,desc,title,file,w1000,0.029256479619154938,0.06187698412698413,0.03,0.008273809523809524,0.025,0.021193452380952382,0.027999999999999997,0.04810798229548229,0.026000000000000002,0.07951812332711702
bge-small,recent,desc_qdesc_file_w1000_recent,desc,desc,file,w1000,0.04254527508030939,0.10649603174603176,0.065,0.012357982295482295,0.056666666666666664,0.044542506105006104,0.04800000000000001,0.061160561660561656,0.034,0.09517797955122638
bge-small,recent,desc_qcomments_file_w1000_recent,desc,comments,file,w1000,0.03840314482870503,0.10528769841269842,0.065,0.012670482295482295,0.06,0.04516510595139628,0.044000000000000004,0.053993062940643585,0.0325,0.08319353080895034
bge-small,recent,desc_qtitle_module_w1000_recent,desc,title,module,w1000,0.8320476190476191,0.8345476190476191,0.755,0.7466666666666667,0.2966666666666667,0.8616666666666666,0.2,0.965,0.10400000000000002,1.0
bge-small,recent,desc_qdesc_module_w1000_recent,desc,desc,module,w1000,0.8447480158730158,0.8491646825396825,0.77,0.7566666666666666,0.3066666666666667,0.8983333333333333,0.20099999999999998,0.9683333333333334,0.10400000000000002,1.0
bge-small,recent,desc_qcomments_module_w1000_recent,desc,comments,module,w1000,0.7930952380952383,0.7949285714285714,0.69,0.6791666666666666,0.305,0.8908333333333335,0.198,0.9558333333333334,0.10400000000000002,1.0
bge-small,recent,diff_qtitle_file_w1000_recent,diff,title,file,w1000,0.04906895929471791,0.1114702380952381,0.075,0.025412675187131705,0.05166666666666666,0.04424572189342526,0.046,0.06437923443822813,0.033,0.09346700287893775
bge-small,recent,diff_qdesc_file_w1000_recent,diff,desc,file,w1000,0.06083293664854489,0.14665079365079364,0.1,0.029684414317566493,0.075,0.06055842963916246,0.063,0.08687646599348914,0.03900000000000001,0.11352686383378467
bge-small,recent,diff_qcomments_file_w1000_recent,diff,comments,file,w1000,0.054116645931127506,0.13766666666666666,0.095,0.021849629760920083,0.07833333333333332,0.05272690329773079,0.06299999999999999,0.07799371002041987,0.0395,0.10748013535978637
bge-small,recent,diff_qtitle_module_w1000_recent,diff,title,module,w1000,0.874297619047619,0.8776031746031745,0.815,0.8041666666666667,0.3133333333333333,0.9108333333333334,0.201,0.9675,0.10400000000000002,1.0
bge-small,recent,diff_qdesc_module_w1000_recent,diff,desc,module,w1000,0.9049642857142857,0.9090833333333334,0.865,0.8516666666666667,0.315,0.9166666666666665,0.20400000000000001,0.9858333333333335,0.10400000000000001,1.0
