model,split_strategy,experiment_id,train_source,query_source,target,window,MAP,MRR,P@1,R@1,P@3,R@3,P@5,R@5,P@10,R@10
bge-small,modn,desc_qtitle_file_w100_modn,desc,title,file,w100,0.03883473722359292,0.10625396825396825,0.07,0.0076919714777179135,0.056666666666666664,0.024354555236799243,0.054000000000000006,0.05362680341500791,0.042,0.09017568896792572
bge-small,modn,desc_qdesc_file_w100_modn,desc,desc,file,w100,0.04047294276612551,0.10351984126984126,0.065,0.013148036968798214,0.06,0.02941672282276144,0.057999999999999996,0.05392042791240209,0.039,0.0767204558414623
bge-small,modn,desc_qcomments_file_w100_modn,desc,comments,file,w100,0.04175004696639148,0.10201388888888889,0.065,0.013148036968798214,0.06333333333333332,0.032210840469820264,0.05700000000000001,0.05944357606055025,0.037000000000000005,0.07566405853506498
bge-small,modn,desc_qtitle_module_w100_modn,desc,title,module,w100,0.5672299603174603,0.6513690476190476,0.44,0.24424999999999997,0.3583333333333333,0.60775,0.298,0.80525,0.17799999999999996,0.9496666666666667
bge-small,modn,desc_qdesc_module_w100_modn,desc,desc,module,w100,0.5995382936507936,0.6716130952380953,0.47,0.27108333333333334,0.38166666666666665,0.6494166666666666,0.30700000000000005,0.83375,0.17800000000000002,0.9496666666666667
bge-small,modn,desc_qcomments_module_w100_modn,desc,comments,module,w100,0.610775,0.6831607142857143,0.495,0.2948333333333333,0.38,0.6475833333333334,0.305,0.8285833333333333,0.17800000000000005,0.9496666666666667
bge-small,modn,diff_qtitle_file_w100_modn,diff,title,file,w100,0.03727182101621944,0.09940873015873017,0.07,0.012821689647425973,0.05499999999999999,0.03179224442100006,0.05,0.04809444902622397,0.036500000000000005,0.061813996287943915
bge-small,modn,diff_qdesc_file_w100_modn,diff,desc,file,w100,0.03753521714403403,0.1062420634920635,0.065,0.010739431582909844,0.065,0.0329182756177925,0.059000000000000004,0.05209899934097353,0.0395,0.0708842392433861
bge-small,modn,diff_qcomments_file_w100_modn,diff,comments,file,w100,0.03816260976775018,0.10080952380952381,0.06,0.01002514586862413,0.06333333333333334,0.03414843434795123,0.054000000000000006,0.050072077461110476,0.04050000000000001,0.0725705526576407
bge-small,modn,diff_qtitle_module_w100_modn,diff,title,module,w100,0.5425032738095238,0.610875,0.4,0.22049999999999997,0.355,0.5902499999999999,0.29100000000000004,0.7795833333333333,0.17800000000000005,0.9496666666666667
bge-small,modn,diff_qdesc_module_w100_modn,diff,desc,module,w100,0.5640751984126984,0.6381964285714286,0.45,0.24508333333333332,0.3566666666666666,0.5877499999999999,0.30200000000000005,0.8265,0.17800000000000002,0.9496666666666667
bge-small,modn,diff_qcomments_module_w100_modn,diff,comments,module,w100,0.5609184523809524,0.6273273809523809,0.425,0.2321666666666667,0.3683333333333333,0.6123333333333333,0.30300000000000005,0.8240000000000001,0.17800000000000005,0.9496666666666667
bge-small,modn,title_qtitle_file_w1000_modn,title,title,file,w1000,0.12380789530763424,0.22595833333333332,0.19,0.046568817758057254,0.145,0.09819978695023257,0.12399999999999999,0.12615057586516884,0.08700000000000001,0.15643697668969203
bge-small,modn,title_qdesc_file_w1000_modn,title,desc,file,w1000,0.102477167927093,0.20548412698412696,0.165,0.03918668412941201,0.13666666666666663,0.08649475265594474,0.11,0.10950092208248981,0.0765,0.13292704729562113
bge-small,modn,title_qcomments_file_w1000_modn,title,comments,file,w1000,0.10347356056297696,0.2060238095238095,0.17,0.03856168412941201,0.13166666666666665,0.08455030821150031,0.107,0.10745374755079513,0.081,0.1397517534715587
bge-small,modn,title_qtitle_module_w1000_modn,title,title,module,w1000,0.5505020502645502,0.6594642857142857,0.47,0.2823333333333333,0.33666666666666667,0.585,0.259,0.7390833333333333,0.1795,0.9635833333333335
bge-small,modn,title_qdesc_module_w1000_modn,title,desc,module,w1000,0.5394760912698413,0.627795634920635,0.425,0.24733333333333335,0.33833333333333326,0.5816666666666667,0.26,0.7375833333333333,0.18250000000000002,0.9731666666666666
bge-small,modn,title_qcomments_module_w1000_modn,title,comments,module,w1000,0.532141369047619,0.6229543650793651,0.42,0.24025,0.33,0.5620833333333334,0.262,0.7398333333333333,0.18350000000000002,0.9764999999999999
bge-small,modn,desc_qtitle_file_w1000_modn,desc,title,file,w1000,0.1399451616199087,0.24275992063492066,0.185,0.054476119894598156,0.17166666666666663,0.117928767485924,0.14100000000000001,0.14710896542807847,0.1,0.17896042824320751
bge-small,modn,desc_qdesc_file_w1000_modn,desc,desc,file,w1000,0.14110632099526602,0.2636150793650794,0.21,0.05133398869822821,0.17166666666666663,0.11584926969217264,0.15,0.14807305538157625,0.10850000000000001,0.18738110194728821
bge-small,modn,desc_qcomments_file_w1000_modn,desc,comments,file,w1000,0.13842121797545937,0.2626428571428572,0.21,0.05127843314267265,0.17,0.11087386868416296,0.14900000000000002,0.14672116819065079,0.10550000000000001,0.18078548793522548
bge-small,modn,desc_qtitle_module_w1000_modn,desc,title,module,w1000,0.551246693121693,0.6700515873015873,0.465,0.26733333333333337,0.3483333333333333,0.6019166666666667,0.26300000000000007,0.73925,0.17850000000000002,0.9620000000000001
bge-small,modn,desc_qdesc_module_w1000_modn,desc,desc,module,w1000,0.5571240079365078,0.6570992063492064,0.455,0.25983333333333336,0.3533333333333333,0.60875,0.262,0.7368333333333333,0.185,0.9864999999999999
bge-small,modn,desc_qcomments_module_w1000_modn,desc,comments,module,w1000,0.5580577380952382,0.6609960317460317,0.465,0.26566666666666666,0.355,0.6079166666666667,0.265,0.7505833333333334,0.18450000000000003,0.9806666666666666
bge-small,modn,diff_qtitle_file_w1000_modn,diff,title,file,w1000,0.13391060414339973,0.23587896825396826,0.18,0.04809795451992115,0.16,0.10919887050951539,0.14100000000000001,0.1458964046742162,0.10150000000000002,0.18461694693996258
bge-small,modn,diff_qdesc_file_w1000_modn,diff,desc,file,w1000,0.15015474837999826,0.2714742063492063,0.22,0.06144937331361282,0.165,0.11732884874032216,0.14700000000000002,0.1565685305721706,0.1075,0.2073889914807535
bge-small,modn,diff_qcomments_file_w1000_modn,diff,comments,file,w1000,0.1433994295434093,0.25449007936507934,0.205,0.05649699236123187,0.16333333333333333,0.11183188624372069,0.148,0.14799550987451096,0.105,0.19103564434479764
bge-small,modn,diff_qtitle_module_w1000_modn,diff,title,module,w1000,0.5424892195767196,0.6306369047619047,0.42,0.21941666666666668,0.3466666666666666,0.5858333333333333,0.29,0.8006666666666666,0.1855,0.9884166666666667
bge-small,modn,diff_qdesc_module_w1000_modn,diff,desc,module,w1000,0.5447354166666666,0.6120654761904762,0.385,0.20299999999999996,0.3516666666666666,0.5785833333333333,0.30400000000000005,0.8285833333333333,0.1855,0.98275
bge-small,modn,diff_qcomments_module_w1000_modn,diff,comments,module,w1000,0.5553959325396824,0.6234761904761904,0.4,0.2109166666666667,0.3633333333333333,0.6110833333333333,0.31100000000000005,0.8431666666666666,0.18600000000000003,0.9852500000000001
bge-small,modn,title_qtitle_file_all_modn,title,title,file,all,0.3124269533919949,0.5380337301587301,0.475,0.12399588880033571,0.3866666666666667,0.2637197725301721,0.315,0.3325353426667769,0.2275,0.4278966099517871
bge-small,modn,title_qdesc_file_all_modn,title,desc,file,all,0.24360657026702576,0.45166468253968256,0.38,0.10623256198529957,0.3,0.20803185634616092,0.261,0.26637596525495794,0.196,0.3448336463494641
bge-small,modn,title_qcomments_file_all_modn,title,comments,file,all,0.22833351459449683,0.4503809523809524,0.39,0.10925177903541548,0.2833333333333333,0.1974399646428111,0.243,0.25257500741362143,0.18099999999999997,0.3210593863090431
bge-small,modn,title_qtitle_module_all_modn,title,title,module,all,0.3876028439153439,0.47330753968253975,0.235,0.14475,0.25166666666666665,0.4474166666666667,0.21100000000000002,0.6098333333333332,0.15450000000000003,0.8524166666666667
bge-small,modn,title_qdesc_module_all_modn,title,desc,module,all,0.42678842592592586,0.49423809523809525,0.27,0.17016666666666666,0.2683333333333333,0.473,0.22700000000000004,0.6491666666666667,0.16149999999999998,0.8857499999999999
bge-small,modn,title_qcomments_module_all_modn,title,comments,module,all,0.41704586640211644,0.49147817460317456,0.28,0.16700000000000004,0.25166666666666665,0.4252500000000001,0.221,0.621,0.1625,0.8874166666666666
bge-small,modn,desc_qtitle_file_all_modn,desc,title,file,all,0.24167702534086172,0.43166666666666664,0.355,0.09475438151535016,0.30333333333333334,0.19564324658167948,0.26899999999999996,0.2669849033008005,0.20450000000000002,0.3587978528522169
bge-small,modn,desc_qdesc_file_all_modn,desc,desc,file,all,0.32003326518329883,0.5576428571428572,0.49,0.13662379691152726,0.39,0.2723438413675819,0.33,0.340755997255215,0.23900000000000002,0.430776074583707
bge-small,modn,desc_qcomments_file_all_modn,desc,comments,file,all,0.29477332790452043,0.5254742063492064,0.45,0.1208261778639082,0.3716666666666667,0.2423309575123067,0.321,0.3084258180984245,0.23650000000000002,0.4120801551141341
bge-small,modn,desc_qtitle_module_all_modn,desc,title,module,all,0.38870899470899467,0.47167857142857145,0.245,0.14725000000000002,0.24,0.4265833333333333,0.20200000000000004,0.5759166666666666,0.15800000000000003,0.8705833333333334
bge-small,modn,desc_qdesc_module_all_modn,desc,desc,module,all,0.4788632936507936,0.5910515873015872,0.375,0.22633333333333333,0.31499999999999995,0.5548333333333333,0.252,0.7155,0.161,0.8840833333333333
bge-small,modn,desc_qcomments_module_all_modn,desc,comments,module,all,0.4604910714285715,0.5705634920634921,0.35,0.20425000000000001,0.30166666666666664,0.5240833333333333,0.251,0.7092499999999999,0.1605,0.8835000000000001
bge-small,modn,diff_qtitle_file_all_modn,diff,title,file,all,0.2712335435550412,0.509,0.41,0.110545256099703,0.3433333333333334,0.2404073150601059,0.3,0.3149358235840172,0.214,0.3916410536175694
bge-small,modn,diff_qdesc_file_all_modn,diff,desc,file,all,0.3152409757061324,0.545670634920635,0.475,0.1383409205501625,0.37166666666666665,0.252477563148701,0.319,0.3209993812508488,0.243,0.43396279780910646
bge-small,modn,diff_qcomments_file_all_modn,diff,comments,file,all,0.29784547619507984,0.5341845238095237,0.465,0.13002453299035388,0.365,0.2403648096741054,0.316,0.30867292919413364,0.23950000000000002,0.40672036308023074
bge-small,modn,diff_qtitle_module_all_modn,diff,title,module,all,0.4283482142857143,0.5127361111111111,0.295,0.17558333333333334,0.26166666666666666,0.4756666666666666,0.225,0.6606666666666666,0.161,0.8909999999999999
bge-small,modn,diff_qdesc_module_all_modn,diff,desc,module,all,0.4854072420634921,0.5719047619047619,0.37,0.21516666666666664,0.29666666666666663,0.51075,0.253,0.701,0.17400000000000002,0.9415833333333333
bge-small,modn,diff_qcomments_module_all_modn,diff,comments,module,all,0.4833474537037037,0.5634920634920635,0.365,0.20975,0.29333333333333333,0.4990833333333333,0.251,0.6911666666666667,0.1775,0.9540833333333333
